"Index" "new_variable_name" "old_variable_name"
1 "subject" "subject ID"
2 "activity_code" "activity code"
3 "tbodyacc_mean_x" "tBodyAcc-mean()-X"
4 "tbodyacc_mean_y" "tBodyAcc-mean()-Y"
5 "tbodyacc_mean_z" "tBodyAcc-mean()-Z"
6 "tbodyacc_std_x" "tBodyAcc-std()-X"
7 "tbodyacc_std_y" "tBodyAcc-std()-Y"
8 "tbodyacc_std_z" "tBodyAcc-std()-Z"
9 "tbodyacc_mad_x" "tBodyAcc-mad()-X"
10 "tbodyacc_mad_y" "tBodyAcc-mad()-Y"
11 "tbodyacc_mad_z" "tBodyAcc-mad()-Z"
12 "tbodyacc_max_x" "tBodyAcc-max()-X"
13 "tbodyacc_max_y" "tBodyAcc-max()-Y"
14 "tbodyacc_max_z" "tBodyAcc-max()-Z"
15 "tbodyacc_min_x" "tBodyAcc-min()-X"
16 "tbodyacc_min_y" "tBodyAcc-min()-Y"
17 "tbodyacc_min_z" "tBodyAcc-min()-Z"
18 "tbodyacc_sma" "tBodyAcc-sma()"
19 "tbodyacc_energy_x" "tBodyAcc-energy()-X"
20 "tbodyacc_energy_y" "tBodyAcc-energy()-Y"
21 "tbodyacc_energy_z" "tBodyAcc-energy()-Z"
22 "tbodyacc_iqr_x" "tBodyAcc-iqr()-X"
23 "tbodyacc_iqr_y" "tBodyAcc-iqr()-Y"
24 "tbodyacc_iqr_z" "tBodyAcc-iqr()-Z"
25 "tbodyacc_entropy_x" "tBodyAcc-entropy()-X"
26 "tbodyacc_entropy_y" "tBodyAcc-entropy()-Y"
27 "tbodyacc_entropy_z" "tBodyAcc-entropy()-Z"
28 "tbodyacc_arcoeff_x_1" "tBodyAcc-arCoeff()-X,1"
29 "tbodyacc_arcoeff_x_2" "tBodyAcc-arCoeff()-X,2"
30 "tbodyacc_arcoeff_x_3" "tBodyAcc-arCoeff()-X,3"
31 "tbodyacc_arcoeff_x_4" "tBodyAcc-arCoeff()-X,4"
32 "tbodyacc_arcoeff_y_1" "tBodyAcc-arCoeff()-Y,1"
33 "tbodyacc_arcoeff_y_2" "tBodyAcc-arCoeff()-Y,2"
34 "tbodyacc_arcoeff_y_3" "tBodyAcc-arCoeff()-Y,3"
35 "tbodyacc_arcoeff_y_4" "tBodyAcc-arCoeff()-Y,4"
