"Index" "variable_name_in_subset_mean_std" "variable_name_in_subject_act_mean_value"
1 "subject" "subject"
2 "activity.txt" "activity.txt"
3 "tbodyacc.mean.x" "tbodyacc.mean.x.mean"
4 "tbodyacc.mean.y" "tbodyacc.mean.y.mean"
5 "tbodyacc.mean.z" "tbodyacc.mean.z.mean"
6 "tbodyacc.std.x" "tbodyacc.std.x.mean"
7 "tbodyacc.std.y" "tbodyacc.std.y.mean"
8 "tbodyacc.std.z" "tbodyacc.std.z.mean"
9 "tgravityacc.mean.x" "tgravityacc.mean.x.mean"
10 "tgravityacc.mean.y" "tgravityacc.mean.y.mean"
11 "tgravityacc.mean.z" "tgravityacc.mean.z.mean"
12 "tgravityacc.std.x" "tgravityacc.std.x.mean"
13 "tgravityacc.std.y" "tgravityacc.std.y.mean"
14 "tgravityacc.std.z" "tgravityacc.std.z.mean"
15 "tbodyaccjerk.mean.x" "tbodyaccjerk.mean.x.mean"
16 "tbodyaccjerk.mean.y" "tbodyaccjerk.mean.y.mean"
17 "tbodyaccjerk.mean.z" "tbodyaccjerk.mean.z.mean"
18 "tbodyaccjerk.std.x" "tbodyaccjerk.std.x.mean"
19 "tbodyaccjerk.std.y" "tbodyaccjerk.std.y.mean"
20 "tbodyaccjerk.std.z" "tbodyaccjerk.std.z.mean"
21 "tbodygyro.mean.x" "tbodygyro.mean.x.mean"
22 "tbodygyro.mean.y" "tbodygyro.mean.y.mean"
23 "tbodygyro.mean.z" "tbodygyro.mean.z.mean"
24 "tbodygyro.std.x" "tbodygyro.std.x.mean"
25 "tbodygyro.std.y" "tbodygyro.std.y.mean"
26 "tbodygyro.std.z" "tbodygyro.std.z.mean"
27 "tbodygyrojerk.mean.x" "tbodygyrojerk.mean.x.mean"
28 "tbodygyrojerk.mean.y" "tbodygyrojerk.mean.y.mean"
29 "tbodygyrojerk.mean.z" "tbodygyrojerk.mean.z.mean"
30 "tbodygyrojerk.std.x" "tbodygyrojerk.std.x.mean"
31 "tbodygyrojerk.std.y" "tbodygyrojerk.std.y.mean"
32 "tbodygyrojerk.std.z" "tbodygyrojerk.std.z.mean"
33 "tbodyaccmag.mean" "tbodyaccmag.mean.mean"
34 "tbodyaccmag.std" "tbodyaccmag.std.mean"
35 "tgravityaccmag.mean" "tgravityaccmag.mean.mean"
36 "tgravityaccmag.std" "tgravityaccmag.std.mean"
37 "tbodyaccjerkmag.mean" "tbodyaccjerkmag.mean.mean"
38 "tbodyaccjerkmag.std" "tbodyaccjerkmag.std.mean"
39 "tbodygyromag.mean" "tbodygyromag.mean.mean"
40 "tbodygyromag.std" "tbodygyromag.std.mean"
41 "tbodygyrojerkmag.mean" "tbodygyrojerkmag.mean.mean"
42 "tbodygyrojerkmag.std" "tbodygyrojerkmag.std.mean"
43 "fbodyacc.mean.x" "fbodyacc.mean.x.mean"
44 "fbodyacc.mean.y" "fbodyacc.mean.y.mean"
45 "fbodyacc.mean.z" "fbodyacc.mean.z.mean"
46 "fbodyacc.std.x" "fbodyacc.std.x.mean"
47 "fbodyacc.std.y" "fbodyacc.std.y.mean"
48 "fbodyacc.std.z" "fbodyacc.std.z.mean"
49 "fbodyaccjerk.mean.x" "fbodyaccjerk.mean.x.mean"
50 "fbodyaccjerk.mean.y" "fbodyaccjerk.mean.y.mean"
51 "fbodyaccjerk.mean.z" "fbodyaccjerk.mean.z.mean"
52 "fbodyaccjerk.std.x" "fbodyaccjerk.std.x.mean"
53 "fbodyaccjerk.std.y" "fbodyaccjerk.std.y.mean"
54 "fbodyaccjerk.std.z" "fbodyaccjerk.std.z.mean"
55 "fbodygyro.mean.x" "fbodygyro.mean.x.mean"
56 "fbodygyro.mean.y" "fbodygyro.mean.y.mean"
57 "fbodygyro.mean.z" "fbodygyro.mean.z.mean"
58 "fbodygyro.std.x" "fbodygyro.std.x.mean"
59 "fbodygyro.std.y" "fbodygyro.std.y.mean"
60 "fbodygyro.std.z" "fbodygyro.std.z.mean"
61 "fbodyaccmag.mean" "fbodyaccmag.mean.mean"
62 "fbodyaccmag.std" "fbodyaccmag.std.mean"
63 "fbodybodyaccjerkmag.mean" "fbodybodyaccjerkmag.mean.mean"
64 "fbodybodyaccjerkmag.std" "fbodybodyaccjerkmag.std.mean"
65 "fbodybodygyromag.mean" "fbodybodygyromag.mean.mean"
66 "fbodybodygyromag.std" "fbodybodygyromag.std.mean"
67 "fbodybodygyrojerkmag.mean" "fbodybodygyrojerkmag.mean.mean"
68 "fbodybodygyrojerkmag.std" "fbodybodygyrojerkmag.std.mean"
